Region label,Unit of measure,Commodity,Year,Value
Tasmania,number,Total cattle,1966,492000
Northern Territory,number,Total cattle,1966,1032000
Australian Capital Territory,number,Total cattle,1966,13000
New South Wales,number,Total cattle,1967,4145700
Victoria,number,Total cattle,1967,3528200
Queensland,number,Total cattle,1967,6919000
South Australia,number,Total cattle,1967,687000
Western Australia,number,Total cattle,1967,1357000
Tasmania,number,Total cattle,1967,522000
Northern Territory,number,Total cattle,1967,1097000
Australian Capital Territory,number,Total cattle,1967,14000
New South Wales,number,Total cattle,1968,4554500
Victoria,number,Total cattle,1968,3474200
Queensland,number,Total cattle,1968,7361000
South Australia,number,Total cattle,1968,695200
Western Australia,number,Total cattle,1968,1427000
Tasmania,number,Total cattle,1968,564000
Northern Territory,number,Total cattle,1968,1130000
Australian Capital Territory,number,Total cattle,1968,13000
New South Wales,number,Total cattle,1969,4864400
Victoria,number,Total cattle,1969,3877800
Queensland,number,Total cattle,1969,7668000
South Australia,number,Total cattle,1969,865100
Western Australia,number,Total cattle,1969,1546000
Tasmania,number,Total cattle,1969,586000
Northern Territory,number,Total cattle,1969,1185000
Australian Capital Territory,number,Total cattle,1969,14000
New South Wales,number,Total cattle,1970,5637000
Victoria,number,Total cattle,1970,4462400
Queensland,number,Total cattle,1970,7515000
South Australia,number,Total cattle,1970,1026100
Western Australia,number,Total cattle,1970,1681000
Tasmania,number,Total cattle,1970,646000
Northern Territory,number,Total cattle,1970,1179000
Australian Capital Territory,number,Total cattle,1970,15000
New South Wales,number,Total cattle,1971,6493800
Victoria,number,Total cattle,1971,5060700
Queensland,number,Total cattle,1971,7944000
South Australia,number,Total cattle,1971,1196400
Western Australia,number,Total cattle,1971,1781000
Tasmania,number,Total cattle,1971,733000
Northern Territory,number,Total cattle,1971,1145000
Australian Capital Territory,number,Total cattle,1971,18000
New South Wales,number,Total cattle,1972,7409500
Victoria,number,Total cattle,1972,5456600
Queensland,number,Total cattle,1972,9021000
South Australia,number,Total cattle,1972,1495000
Western Australia,number,Total cattle,1972,1975000
Tasmania,number,Total cattle,1972,829000
Northern Territory,number,Total cattle,1972,1166000
Australian Capital Territory,number,Total cattle,1972,20000
New South Wales,number,Total cattle,1973,7918400
Victoria,number,Total cattle,1973,5464500
Queensland,number,Total cattle,1973,9795000
South Australia,number,Total cattle,1973,1583300
Western Australia,number,Total cattle,1973,2182000
Tasmania,number,Total cattle,1973,900000
Northern Territory,number,Total cattle,1973,1237000
Australian Capital Territory,number,Total cattle,1973,19000
New South Wales,number,Total cattle,1974,8456400
Victoria,number,Total cattle,1974,5839700
Queensland,number,Total cattle,1974,10297000
South Australia,number,Total cattle,1974,1691600
Western Australia,number,Total cattle,1974,2330000
Tasmania,number,Total cattle,1974,884000
Northern Territory,number,Total cattle,1974,1321000
Australian Capital Territory,number,Total cattle,1974,19000
New South Wales,number,Total cattle,1975,8935100
Victoria,number,Total cattle,1975,6192400
Queensland,number,Total cattle,1975,10879000
South Australia,number,Total cattle,1975,1868700
Western Australia,number,Total cattle,1975,2544000
Tasmania,number,Total cattle,1975,921000
Northern Territory,number,Total cattle,1975,1434000
Australian Capital Territory,number,Total cattle,1975,18800
New South Wales,number,Total cattle,1976,9138000
Victoria,number,Total cattle,1976,5868400
Queensland,number,Total cattle,1976,11347000
South Australia,number,Total cattle,1976,1891200
Western Australia,number,Total cattle,1976,2654000
Tasmania,number,Total cattle,1976,909000
Northern Territory,number,Total cattle,1976,1603000
Australian Capital Territory,number,Total cattle,1976,23000
New South Wales,number,Total cattle,1977,8348500
Victoria,number,Total cattle,1977,5104300
Queensland,number,Total cattle,1977,11506400
South Australia,number,Total cattle,1977,1607800
Western Australia,number,Total cattle,1977,2464000
Tasmania,number,Total cattle,1977,819000
Northern Territory,number,Total cattle,1977,1664000
Australian Capital Territory,number,Total cattle,1977,19000
New South Wales,number,Total cattle,1978,7330000
Victoria,number,Total cattle,1978,4572400
Queensland,number,Total cattle,1978,11490200
South Australia,number,Total cattle,1978,1242500
Western Australia,number,Total cattle,1978,2271000
Tasmania,number,Total cattle,1978,733000
Northern Territory,number,Total cattle,1978,1674000
Australian Capital Territory,number,Total cattle,1978,16900
New South Wales,number,Total cattle,1979,6484000
Victoria,number,Total cattle,1979,4134400
Queensland,number,Total cattle,1979,10859500
South Australia,number,Total cattle,1979,1085900
Western Australia,number,Total cattle,1979,2092000
Tasmania,number,Total cattle,1979,657000
Northern Territory,number,Total cattle,1979,1785000
Australian Capital Territory,number,Total cattle,1979,14200
New South Wales,number,Total cattle,1980,6097000
Victoria,number,Total cattle,1980,4252300
Queensland,number,Total cattle,1980,10331700
South Australia,number,Total cattle,1980,1067000
Western Australia,number,Total cattle,1980,2065000
Tasmania,number,Total cattle,1980,649000
Northern Territory,number,Total cattle,1980,1727000
Australian Capital Territory,number,Total cattle,1980,14000
New South Wales,number,Total cattle,1981,5459000
Victoria,number,Total cattle,1981,4313000
Queensland,number,Total cattle,1981,9925000
South Australia,number,Total cattle,1981,1091000
Western Australia,number,Total cattle,1981,2034000
Tasmania,number,Total cattle,1981,659000
Northern Territory,number,Total cattle,1981,1675000
Australian Capital Territory,number,Total cattle,1981,12000
New South Wales,number,Total cattle,1982,5379000
Victoria,number,Total cattle,1982,4137000
Queensland,number,Total cattle,1982,9765000
South Australia,number,Total cattle,1982,1010000
Western Australia,number,Total cattle,1982,1935000
Tasmania,number,Total cattle,1982,628000
Northern Territory,number,Total cattle,1982,1622000
Australian Capital Territory,number,Total cattle,1982,14000
New South Wales,number,Total cattle,1983,5018000
Victoria,number,Total cattle,1983,3408300
Queensland,number,Total cattle,1983,9349500
South Australia,number,Total cattle,1983,828300
Western Australia,number,Total cattle,1983,1754200
Tasmania,number,Total cattle,1983,559200
Northern Territory,number,Total cattle,1983,1547700
Australian Capital Territory,number,Total cattle,1983,10200
New South Wales,number,Total cattle,1984,5035500
Victoria,number,Total cattle,1984,3487000
Queensland,number,Total cattle,1984,9154400
South Australia,number,Total cattle,1984,812600
Western Australia,number,Total cattle,1984,1729500
Tasmania,number,Total cattle,1984,542100
Northern Territory,number,Total cattle,1984,1390100
Australian Capital Territory,number,Total cattle,1984,9900
New South Wales,number,Total cattle,1985,5225500
Victoria,number,Total cattle,1985,3575700
Queensland,number,Total cattle,1985,9413200
South Australia,number,Total cattle,1985,846400
Western Australia,number,Total cattle,1985,1673500
Tasmania,number,Total cattle,1985,553600
Northern Territory,number,Total cattle,1985,1484000
Australian Capital Territory,number,Total cattle,1985,11100
New South Wales,number,Total cattle,1986,5409300
Victoria,number,Total cattle,1986,3719700
Queensland,number,Total cattle,1986,9662000
South Australia,number,Total cattle,1986,914500
Western Australia,number,Total cattle,1986,1690100
Tasmania,number,Total cattle,1986,570300
Northern Territory,number,Total cattle,1986,1457600
Australian Capital Territory,number,Total cattle,1986,12700
New South Wales,number,Total cattle,1987,4868000
Victoria,number,Total cattle,1987,3478000
Queensland,number,Total cattle,1987,9011500
South Australia,number,Total cattle,1987,911700
Western Australia,number,Total cattle,1987,1659500
Tasmania,number,Total cattle,1987,534800
Northern Territory,number,Total cattle,1987,1439300
Australian Capital Territory,number,Total cattle,1987,11800
New South Wales,number,Total cattle,1988,4961800
Victoria,number,Total cattle,1988,3473500
Queensland,number,Total cattle,1988,8825200
