Region label,Unit of measure,Commodity,Year,Value
Northern Territory,hectares,Maize,1915,0
Northern Territory,tonnes,Maize,1915,0
Australian Capital Territory,hectares,Maize,1915,0
Australian Capital Territory,tonnes,Maize,1915,0
Australia,hectares,Oats,1915,314500
Australia,tonnes,Oats,1915,78700
New South Wales,hectares,Oats,1915,17600
New South Wales,tonnes,Oats,1915,9300
Victoria,hectares,Oats,1915,177000
Victoria,tonnes,Oats,1915,29200
Queensland,hectares,Oats,1915,1100
Queensland,tonnes,Oats,1915,800
South Australia,hectares,Oats,1915,56900
South Australia,tonnes,Oats,1915,6700
Western Australia,hectares,Oats,1915,38900
Western Australia,tonnes,Oats,1915,8400
Tasmania,hectares,Oats,1915,23100
Tasmania,tonnes,Oats,1915,24300
Northern Territory,hectares,Oats,1915,0
Northern Territory,tonnes,Oats,1915,0
Australian Capital Territory,hectares,Oats,1915,0
Australian Capital Territory,tonnes,Oats,1915,0
Australia,hectares,Wheat,1915,3905700
Australia,tonnes,Wheat,1915,677300
New South Wales,hectares,Wheat,1915,1116100
New South Wales,tonnes,Wheat,1915,349200
Victoria,hectares,Wheat,1915,1158800
Victoria,tonnes,Wheat,1915,107300
Queensland,hectares,Wheat,1915,51400
Queensland,tonnes,Wheat,1915,43100
South Australia,hectares,Wheat,1915,1012800
South Australia,tonnes,Wheat,1915,95900
Western Australia,hectares,Wheat,1915,556900
Western Australia,tonnes,Wheat,1915,71400
Tasmania,hectares,Wheat,1915,9700
Tasmania,tonnes,Wheat,1915,10500
Northern Territory,hectares,Wheat,1915,0
Northern Territory,tonnes,Wheat,1915,0
Australian Capital Territory,hectares,Wheat,1915,0
Australian Capital Territory,tonnes,Wheat,1915,0
Australia,hectares,Potatoes,1915,60000
Australia,tonnes,Potatoes,1915,363300
New South Wales,hectares,Potatoes,1915,12300
New South Wales,tonnes,Potatoes,1915,41400
Victoria,hectares,Potatoes,1915,26500
Victoria,tonnes,Potatoes,1915,192300
Queensland,hectares,Potatoes,1915,3400
Queensland,tonnes,Potatoes,1915,16300
South Australia,hectares,Potatoes,1915,3100
South Australia,tonnes,Potatoes,1915,18300
Western Australia,hectares,Potatoes,1915,1900
Western Australia,tonnes,Potatoes,1915,15000
Tasmania,hectares,Potatoes,1915,12800
Tasmania,tonnes,Potatoes,1915,80200
Northern Territory,hectares,Potatoes,1915,0
Northern Territory,tonnes,Potatoes,1915,0
Australian Capital Territory,hectares,Potatoes,1915,0
Australian Capital Territory,tonnes,Potatoes,1915,0
Australia,number,Total cattle,1915,9931416
New South Wales,number,Total cattle,1915,2400104
Victoria,number,Total cattle,1915,1043604
Queensland,number,Total cattle,1915,4780893
South Australia,number,Total cattle,1915,226565
Western Australia,number,Total cattle,1915,821048
Tasmania,number,Total cattle,1915,169575
Northern Territory,number,Total cattle,1915,483961
Australian Capital Territory,number,Total cattle,1915,5666
Australia,hectares,Barley,1916,68600
Australia,tonnes,Barley,1916,86300
New South Wales,hectares,Barley,1916,2600
New South Wales,tonnes,Barley,1916,2600
Victoria,hectares,Barley,1916,24800
Victoria,tonnes,Barley,1916,39300
Queensland,hectares,Barley,1916,600
Queensland,tonnes,Barley,1916,200
South Australia,hectares,Barley,1916,34400
South Australia,tonnes,Barley,1916,38500
Western Australia,hectares,Barley,1916,4100
Western Australia,tonnes,Barley,1916,3000
Tasmania,hectares,Barley,1916,2200
Tasmania,tonnes,Barley,1916,2600
Northern Territory,hectares,Barley,1916,0
Northern Territory,tonnes,Barley,1916,0
Australian Capital Territory,hectares,Barley,1916,0
Australian Capital Territory,tonnes,Barley,1916,0
Australia,hectares,Maize,1916,144800
Australia,tonnes,Maize,1916,197900
New South Wales,hectares,Maize,1916,62400
New South Wales,tonnes,Maize,1916,95900
Victoria,hectares,Maize,1916,9000
Victoria,tonnes,Maize,1916,25400
Queensland,hectares,Maize,1916,73400
Queensland,tonnes,Maize,1916,76700
South Australia,hectares,Maize,1916,0
South Australia,tonnes,Maize,1916,0
Western Australia,hectares,Maize,1916,0
Western Australia,tonnes,Maize,1916,0
Tasmania,hectares,Maize,1916,0
Tasmania,tonnes,Maize,1916,0
Northern Territory,hectares,Maize,1916,0
Northern Territory,tonnes,Maize,1916,0
Australian Capital Territory,hectares,Maize,1916,0
Australian Capital Territory,tonnes,Maize,1916,0
Australia,hectares,Oats,1916,292100
Australia,tonnes,Oats,1916,299800
New South Wales,hectares,Oats,1916,23700
New South Wales,tonnes,Oats,1916,24400
Victoria,hectares,Oats,1916,143200
Victoria,tonnes,Oats,1916,169300
Queensland,hectares,Oats,1916,100
Queensland,tonnes,Oats,1916,0
South Australia,hectares,Oats,1916,51200
South Australia,tonnes,Oats,1916,38600
Western Australia,hectares,Oats,1916,42100
Western Australia,tonnes,Oats,1916,27800
Tasmania,hectares,Oats,1916,31700
Tasmania,tonnes,Oats,1916,39600
Northern Territory,hectares,Oats,1916,0
Northern Territory,tonnes,Oats,1916,0
Australian Capital Territory,hectares,Oats,1916,0
Australian Capital Territory,tonnes,Oats,1916,0
Australia,hectares,Wheat,1916,5052300
Australia,tonnes,Wheat,1916,4872500
New South Wales,hectares,Wheat,1916,1695200
New South Wales,tonnes,Wheat,1916,1817000
Victoria,hectares,Wheat,1916,1489200
Victoria,tonnes,Wheat,1916,1592700
Queensland,hectares,Wheat,1916,37900
Queensland,tonnes,Wheat,1916,11300
South Australia,hectares,Wheat,1916,1108500
South Australia,tonnes,Wheat,1916,928500
Western Australia,hectares,Wheat,1916,701800
Western Australia,tonnes,Wheat,1916,496000
Tasmania,hectares,Wheat,1916,19700
Tasmania,tonnes,Wheat,1916,27000
Northern Territory,hectares,Wheat,1916,0
Northern Territory,tonnes,Wheat,1916,0
Australian Capital Territory,hectares,Wheat,1916,0
Australian Capital Territory,tonnes,Wheat,1916,0
Australia,hectares,Potatoes,1916,49000
Australia,tonnes,Potatoes,1916,338000
New South Wales,hectares,Potatoes,1916,7900
New South Wales,tonnes,Potatoes,1916,45200
Victoria,hectares,Potatoes,1916,23000
Victoria,tonnes,Potatoes,1916,176600
Queensland,hectares,Potatoes,1916,2300
Queensland,tonnes,Potatoes,1916,7600
South Australia,hectares,Potatoes,1916,1800
South Australia,tonnes,Potatoes,1916,13200
Western Australia,hectares,Potatoes,1916,2000
Western Australia,tonnes,Potatoes,1916,14300
Tasmania,hectares,Potatoes,1916,11900
Tasmania,tonnes,Potatoes,1916,81200
Northern Territory,hectares,Potatoes,1916,0
Northern Territory,tonnes,Potatoes,1916,0
Australian Capital Territory,hectares,Potatoes,1916,0
Australian Capital Territory,tonnes,Potatoes,1916,0
Australia,number,Total cattle,1916,10459237
New South Wales,number,Total cattle,1916,2757713
Victoria,number,Total cattle,1916,1175098
Queensland,number,Total cattle,1916,4765657
South Australia,number,Total cattle,1916,288887
Western Australia,number,Total cattle,1916,863930
Tasmania,number,Total cattle,1916,179360
Northern Territory,number,Total cattle,1916,420362
Australian Capital Territory,number,Total cattle,1916,8230
Australia,hectares,Barley,1917,93200
Australia,tonnes,Barley,1917,92600
New South Wales,hectares,Barley,1917,2100
New South Wales,tonnes,Barley,1917,1700
Victoria,hectares,Barley,1917,37600
Victoria,tonnes,Barley,1917,40800
Queensland,hectares,Barley,1917,5100
Queensland,tonnes,Barley,1917,5700
South Australia,hectares,Barley,1917,41900
South Australia,tonnes,Barley,1917,39400
Western Australia,hectares,Barley,1917,4500
Western Australia,tonnes,Barley,1917,3000
Tasmania,hectares,Barley,1917,1900
Tasmania,tonnes,Barley,1917,2000
Northern Territory,hectares,Barley,1917,0
Northern Territory,tonnes,Barley,1917,0
Australian Capital Territory,hectares,Barley,1917,0
Australian Capital Territory,tonnes,Barley,1917,0
Australia,hectares,Maize,1917,139100
Australia,tonnes,Maize,1917,246300
New South Wales,hectares,Maize,1917,62900
New South Wales,tonnes,Maize,1917,110100
Victoria,hectares,Maize,1917,9300
Victoria,tonnes,Maize,1917,29800
Queensland,hectares,Maize,1917,66800
Queensland,tonnes,Maize,1917,106400
South Australia,hectares,Maize,1917,0
South Australia,tonnes,Maize,1917,0
Western Australia,hectares,Maize,1917,0
Western Australia,tonnes,Maize,1917,0
Tasmania,hectares,Maize,1917,0
Tasmania,tonnes,Maize,1917,0
Northern Territory,hectares,Maize,1917,0
Northern Territory,tonnes,Maize,1917,0
Australian Capital Territory,hectares,Maize,1917,0
Australian Capital Territory,tonnes,Maize,1917,0
Australia,hectares,Oats,1917,341600
Australia,tonnes,Oats,1917,254100
New South Wales,hectares,Oats,1917,27200
New South Wales,tonnes,Oats,1917,19700
Victoria,hectares,Oats,1917,178700
Victoria,tonnes,Oats,1917,150400
Queensland,hectares,Oats,1917,2700
Queensland,tonnes,Oats,1917,2000
South Australia,hectares,Oats,1917,61400
South Australia,tonnes,Oats,1917,33300
Western Australia,hectares,Oats,1917,49500
Western Australia,tonnes,Oats,1917,30600
Tasmania,hectares,Oats,1917,22300
